Date,Time,player_count,title
9/21/2023,17:16,2028210,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:17,2068395,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:18,2068395,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:19,2068395,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:20,2068395,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:21,2068395,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:22,2108967,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:23,2108967,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:24,2108967,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:25,2108967,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:26,2108967,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:27,2147700,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:28,2147700,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:29,2147700,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:30,2147700,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:31,2147700,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:32,2187078,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:33,2187078,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:34,2187078,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:35,2187078,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:36,2187078,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:37,2223377,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:38,2223377,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:39,2223377,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:40,2223377,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:41,2223377,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:42,2256779,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:43,2256779,PLAYERUNKNOWNS BATTLEGROUNDS
9/21/2023,17:44,2256779,PLAYERUNKNOWNS BATTLEGROUNDS
